nombre,categoria,unidad_base,punto_reorden,minimo_stock,costo_unitario_inicial,es_critico,descripcion
ACEITE DE PALMA LT,ACEITES Y SALSAS,L,,,,NO,
ACEITE DE TRUFA LT,ACEITES Y SALSAS,L,,,,NO,
ACEITE LT,ACEITES Y SALSAS,L,,,,NO,
MOSTAZA KG,ACEITES Y SALSAS,KG,,,,NO,
PASTA DE TOMATE KG,ACEITES Y SALSAS,KG,,,,NO,
SALSA KETCHUP KG,ACEITES Y SALSAS,KG,,,,NO,
TAHINE KG,ACEITES Y SALSAS,KG,,,,NO,
BOQUILLA ARGILE UND,ARGUILE,UNIT,,,,NO,
CARBON UND,ARGUILE,UNIT,,,,NO,
ARROZ KG,ARROCES,KG,,,,NO,
ARROZ LIBANES KG,ARROCES,KG,,,,NO,
ARROZ PERSONAL KG,ARROCES,KG,,,,NO,
AZUCAR EN SOBRE UND,AZUCARES,UNIT,,,,NO,
AZUCAR KG,AZUCARES,KG,,,,NO,
AZUCAR MOREN KG,AZUCARES,KG,,,,NO,
GELATINA SIN SABOR KG,AZUCARES,KG,,,,NO,
SPLENDA UND,AZUCARES,UNIT,,,,NO,
CAFE KG,CAFE,KG,,,,NO,
CARAMELOS MENTA,CARAMELOS,UNIT,,,,NO,
CARNE DE HAMBURGUESAS UND,CARNES Y AVES,UNIT,,,,NO,
CARNE MOLIDA PERSONAL KG,CARNES Y AVES,KG,,,,NO,
CHOCOZUELA ENTERA KG,CARNES Y AVES,KG,,,,NO,
CHOCOZUELA KG,CARNES Y AVES,KG,,,,NO,
CHOCOZUELA MOLIDA HAMBURGUESAS KG,CARNES Y AVES,KG,,,,NO,
CHOCOZUELA MOLIDA KG,CARNES Y AVES,KG,,,,NO,
CHULETA AHUMADA KG,CARNES Y AVES,KG,,,,NO,
CORDERO KG,CARNES Y AVES,KG,,,,NO,
LAGARTO KG,CARNES Y AVES,KG,,,,NO,
LOMITO KG,CARNES Y AVES,KG,,,,NO,
POLLO KG,CARNES Y AVES,KG,,,,NO,
TOCINETA KG,CARNES Y AVES,KG,,,,NO,
BUDWEISER UND,CERVEZAS,UNIT,,,,NO,
CORONA UND,CERVEZAS,UNIT,,,,NO,
HEINEKEN UND,CERVEZAS,UNIT,,,,NO,
POLARCITA UND,CERVEZAS,UNIT,,,,NO,
SOLERA UND,CERVEZAS,UNIT,,,,NO,
STELLA ARTOIS UND,CERVEZAS,UNIT,,,,NO,
GOTAS DE CHOCOLATE KG,CHOCOLATE,KG,,,,NO,
BISTEC PERSONAL,COMIDA PERSONAL,KG,,,,NO,
CARNE PARA GUISAR PERSONAL,COMIDA PERSONAL,KG,,,,NO,
CARNE PARA MECHAR DEL PERSONAL,COMIDA PERSONAL,KG,,,,NO,
CHORIZO PERSONAL,COMIDA PERSONAL,KG,,,,NO,
CHULETA PERSONAL,COMIDA PERSONAL,KG,,,,NO,
HUESITOS AHUMADOS,COMIDA PERSONAL,KG,,,,NO,
JAMON KG,COMIDA PERSONAL,KG,,,,NO,
MOLIDA PERSONAL,COMIDA PERSONAL,KG,,,,NO,
MUCHACHO REDONDO PERSONAL,COMIDA PERSONAL,KG,,,,NO,
MUSLO DE POLLO KG,COMIDA PERSONAL,KG,,,,NO,
POLLO PERSONAL KG,COMIDA PERSONAL,KG,,,,NO,
POLLO PICADO KG,COMIDA PERSONAL,KG,,,,NO,
QUESO BLANCO kg,COMIDA PERSONAL,KG,,,,NO,
QUESO MOZARELLA KG,COMIDA PERSONAL,KG,,,,NO,
ACIDO CITRICO KG,CONDIMENTOS,KG,,,,NO,
AJINOMOTO KG,CONDIMENTOS,KG,,,,NO,
AJONJOLI BLANCO KG,CONDIMENTOS,KG,,,,NO,
AJONJOLI NEGRO KG,CONDIMENTOS,KG,,,,NO,
ANÍS ESTRELLADO KG,CONDIMENTOS,KG,,,,NO,
BICARBONATO KG,CONDIMENTOS,KG,,,,NO,
CACAO KG,CONDIMENTOS,KG,,,,NO,
CANELA EN RAMA KG,CONDIMENTOS,KG,,,,NO,
CANELA KG,CONDIMENTOS,KG,,,,NO,
CARDAMOMO KG,CONDIMENTOS,KG,,,,NO,
CHAMAN KG,CONDIMENTOS,KG,,,,NO,
CLAVO DE OLOR KG,CONDIMENTOS,KG,,,,NO,
CMC KG,CONDIMENTOS,KG,,,,NO,
COCO RALLADO KG,CONDIMENTOS,KG,,,,NO,
COMINO KG,CONDIMENTOS,KG,,,,NO,
CUBITO MAGGI UND,CONDIMENTOS,UNIT,,,,NO,
LAUREL KG,CONDIMENTOS,KG,,,,NO,
LEVADURA KG,CONDIMENTOS,KG,,,,NO,
MIEL KG,CONDIMENTOS,KG,,,,NO,
NUEZ MOSCADA KG,CONDIMENTOS,KG,,,,NO,
PAPELON KG,CONDIMENTOS,KG,,,,NO,
PAPRIKA KG,CONDIMENTOS,KG,,,,NO,
PIMIENTA BLANCA KG,CONDIMENTOS,KG,,,,NO,
PIMIENTA CAYENA KG,CONDIMENTOS,KG,,,,NO,
