,,,,,,,,
,RECETAS PRODUCCIÓN X KG,,,,,,,
,,,,,,,,
,Hummus (Garbanzo),,,,,,,
,,Cantidad,Medida,,,,,
,Garbanzo Sancochado,4,KG,,,,,
,Zumo de Limón,20,ML,,,,,
,Ajo Limpio,60,GR,,,,,
,Sal Fina,96,GR,,,,,
,Aceite Vegetal,600,ML,,,,,
,Crema de Ajonjolí,600,GR,,,,,
,Sal de Limón,40,GR,,,,,
,,,,,,,,
,,,,,,,,
,Muhammara (Pimenton),,,,,,,
,,Cantidad,Medida,,,,,
,Pimentón Limpio,"3,6",KG,,,,,
,Aceite Vegetal,32,GR,,,,,
,Sal Fina,36,GR,,,,,
,Azucar Refinada,240,GR,,,,,
,Crema de Ajonjolí,160,GR,,,,,
,Pan Rallado,"1,5",KG,,,,,
,Aceite de Oliva,32,ML,,,,,
,Comino,3,GR,,,,,
,,,,,,,,
,,,,,,,,
,Babaganoush (Berenjena),,,,,,,
,,Cantidad,Medida,,,,,
,Berenjena Asada,"3,68",KG,,,,,
,Zumo de Limón,400,GR,,,,,
,Crema de Ajonjolí,672,GR,,,,,
,Sal Fina,64,GR,,,,,
,Aceite de Oliva,150,ML,,,,,
,Ajo Limpio,72,GR,,,,,
,,,,,,,,
,Tarator (Ajonjoli),,,,,,,
,,Cantidad,Medida,,,,,
,Crema de Ajonjolí,"2,4",KG,,,,,
,Zumo de Limón,800,ML,,,,,
,Sal Fina,88,GR,,,,,
,Ajo Limpio,144,GR,,,,,
,Agua Filtrada,700,ML,,,,,
,,,,,,,,
,Labneh Proceso,,,,,,,
,,Cantidad,Medida,,,,,
,Yogurt Fresco,"2,4",KG,,,,,
,,,,,,,,
,Toum (Ajo),,,,,,,
,,Cantidad,Medida,,,,,
,Ajo Limpio,240,GR,,,,,
,Sal Fina,5,GR,,,,,
,Huevo,9,UND,,,,,
,Aceite vegetal,"2,7",LT,,,,,
,Vinagre,15,ML,,,,,
,,,,,,,,
,Laban Bi Khiar,,,,,,,
,,Cantidad,Medida,,,,,
,Yogurt,105,GR,,,,,
,Pepino,25,GR,,,,,
,Hierba Buena en Polvo,1,GR,,,,,
,Ajo Limpio,1,UND,,,,,
,Sal Fina,/,/,,,,,
,,,,,,,,
,Yogurt,,,,,,,
,,Cantidad,Medida,,,,,
,Agua Potable,14,LT,,,,,
,Leche en polvo,"4,5",KG,,,,,
,Yogurt Madre,"1,2",KG,,,,,
,,,,,,,,
,,,,,,,,
,Shanklish (Bolas),,,,,,,
,,Cantidad,Medida,,,,,
,Shanklish,1,KG,,,,,
,Zaatar,50,GR,,,,,
,Sal Fina,5,GR,,,,,
,Picante cayena,10,GR,,,,,
,,,,,,,,
,Shanklish (Queso con base de Yogurt),,,,,,,
,,Cantidad,Medida,,,,,
,Yogurt Fresco,18,KG,,,,,
,Agua Potable,15,LT,,,,,
,Leche en polvo,"4,5",KG,,,,,
,Yogurt Madre,"1,2",KG,,,,,
,,,,,,,,
,Masa Falafel,,,,,,,
,,Cantidad,Medida,,,,,
,Garbanzo Remojado,"2,5",KG,,,,,
,Cebolla,600,GR,,,,,
,Ajo Limpio,80,GR,,,,,
,Cilantro,300,GR,,,,,
,Comino,16,GR,,,,,
,Sal,45,GR,,,,,
,Pimienta,15,GR,,,,,
,Siete Especies,10,GR,,,,,
,,,,,,,,
,Lomito (ADEREZO),,,,,,,
,,Cantidad,Medida,,,,,
,Sal Fina,60,GR,,,,,
,Siete Especies,27,GR,,,,,
,Ajo pelado,17,GR,,,,,
,Mostaza,340,GR,,,,,
,Pasta de Tomate,200,GR,,,,,
,Aceite Vegetal,90,ML,,,,,
,Aceite de Oliva,90,ML,,,,,
,,,,,,,,
,Pollo (ADEREZO),,,,,,,
,,Cantidad,Medida,,,,,
,Sal Fina,60,GR,,,,,
,Siete Especies,27,GR,,,,,
,Paprika,17,GR,,,,,
,Ajo Pelado,170,GR,,,,,
,Mostaza,340,GR,,,,,
,Yogurt,120,GR,,,,,
,Pasta de Tomate,200,GR,,,,,
,Limón (unid),14,ML,,,,,
,,,,,,,,
,SOFRITO Kibbe Frito/ Horneado,,,,,,,
,,Cantidad,Medida,,,,,
,Carne Molida,3,KG,,,,,
,Pimienta Negra,9,GR,,,,,
,Sal Fina,50,GR,,,,,
,Siete Especies,9,GR,,,,,
,Ajo Procesado,135,GR,,,,,
,Cebolla,"1,7",KG,,,,,
,,,,,,,,
,MASA Kibbe Frito/ Horneado,,,,,,,
,,Cantidad,Medida,,,,,
,Carne Molida,3,KG,,,,,
,Trigo remojado,"2,22 ",KG,,,,,
,Pimienta,20,GR,,,,,
,Sal Fina,75,GR,,,,,
,Siete Especies,20,GR,,,,,
,Cebolla,300,GR,,,,,
,,,,,,,,
,PORCIONES Kibbe Horneado,,,,,,,
,,Cantidad,,,,,,
,,125gr,250gr,500gr,,,,
,Capa de Abajo,50,100,200,,,,
,Capa de Sofrito,25,50,100,,,,
,Capa de Arriba,50,100,200,,,,
,,,,,,,,
,PORCIONES Kibbe Frito,,,,,,,
,,Cantidad,,,,,,
,,Normal,Mini,,,,,
,Masa,45 gr,25 gr,,,,,
,Relleno,15 gr,10 gr,,,,,
,,,,,,,,
,Cebolla Hamb de TP 1KG,,,,,,,
,,Cantidad,Medida,,,,,
,Cebolla Morada (Limpia),711,GR,,,,,
,Mantequilla Sin Sal,85,GR,,,,,
,Licor de Café (Kahlúa/Similar),107,GR,,,,,
,Café Espresso (Fuerte),57,GR,,,,,
,Vinagre Balsámico,28,GR,,,,,
,Sal Fina,8.5  u 8,GR,,,,,
,Tomillo Seco,3.5  u 4 ,GR,,,,,
,,,,,,,,
,Caldo de Arroz  1LTS,,,,,,,
,,Cantidad,Medida,,,,,
,Agua (Fría), 641 ml ,ML,,,,,
,Huesos y Puntas de Ala,"256,4",GR,,,,,
,Cebolla Blanca (mirepoix),"51,3",GR,,,,,
,Pasta de Mostaza,"15,4",GR,,,,,
,Aceite Vegetal,14,ML,,,,,
,Ajo en pasta,"10,3",GR,,,,,
,Zumo de Limón,8,ML,,,,,
,7 Especias,"3,8",GR,,,,,
,Pimienta Negra (molida),"1,3",GR,,,,,
,Canela en rama,"1,3",GR,,,,,
,Laurel (hoja seca),2,UND,,,,,
,Sal,Al gusto,AL GUSTO,,,,,
,,,,,,,,
,Arroz y Caldo  1KG,,,,,,,
,,Cantidad,Medida,,,,,
,Arroz Vaporizado,297,GR,,,,,
,Fondo Maestro (Hirviendo),669,GR,,,,,
,Mantequilla,21,GR,,,,,
,Aceite Vegetal,9,GR,,,,,
,Sal,"3,6",GR,,,,,
,,,,,,,,
,Pollo de Arroz 1kg,,,,,,,
,,Cantidad,Medida,,,,,
,Milanesa de Pollo,707,GR,,,,,
,Fase 1: Marinada ,-,-,,,,,
,Pasta de Ajo (Fina),28,GR,,,,,
,Pasta de Mostaza ,35,GR,,,,,
,7 Especias (Baharat),13,GR,,,,,
,Pimienta Negra (Molienda fina),5,GR,,,,,
,Zumo de Limón (Fresco),25,ML,,,,,
,Sal Refinada,11,GR,,,,,
,Fase 2: Pomada de Hidratación,-,-,,,,,
,Cebolla Blanca (en Brunoise 2x2mm),141,GR,,,,,
,Mantequilla Clarificada,35,GR,,,,,
,,,,,,,,
,Cebolla de Arroz Libanes ,,,,,,,
,,Cantidad,Medida,,,,,
,Cebolla Blanca (Juliana 1.5mm),699,GR,,,,,
,Reducción de Fondo Maestro,245,GR,,,,,
,Mantequilla Clarificada (Ghee),56,GR,,,,,
,,,,,,,,
,Pan de Hamburguesa Shanklish ,,,,,,,
,,Cantidad,Medida,,,,,
,Harina de Fuerza,511,GR,,,,,
,Agua (Fría de nevera),"230,2",GR,,,,,
,Huevo Entero,"76,7",GR,,,,,
,Mantequilla (Pomada),"76,7",GR,,,,,
,Miel,"51,2",GR,,,,,
,Leche en Polvo,36,GR,,,,,
,Sal,10,GR,,,,,
,Levadura Instantánea,8,GR,,,,,
,,,,,,,,
,Cebolla caramelizada de Hamburguesa Shanklish,,,,,,,
,,,,,,,,
,,Cantidad,Medida,,,,,
,Cebolla Morada (Limpia),695,GR,,,,,
,Vino Tinto (Malbec/Syrah),"173,9",GR,,,,,
,Mantequilla Clarificada (Ghee),56,GR,,,,,
,Melaza de Granada,42,GR,,,,,
,Azúcar Moreno,21,GR,,,,,
,Sal Marina,8,GR,,,,,
,Canela en rama,4,GR,,,,,
,Pimienta de Jamaica (molida),"0,7",GR,,,,,
,,,,,,,,
,Tabaquitos X 138 UND ,,,,,,,
,,Cantidad,Medida,,,,,
,Lagarto Molido,500,GR,,,,,
,Chocozuela Molida,500,GR,,,,,
