,,,,,,,,,
,SHANKLISH PREPARADOS,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SHANKLISH TRADICIONAL ,CANTIDAD ,,,,,,,
,INGREDIENTES,125GR,250GR,DETALLE,PREPARACIÓN,,,,
,BOLA SHANKLISH ,60 GR,120 GR,,Se deshace la bola shanklish uniformemente,,,,
,TOMATE,30 GR,60 GR,CUBITOS ,Se mezcla con todos los ingredientes ,,,,
,CEBOLLA  BLANCA ,26 GR,52 GR,CUBITOS ,,,,,
,ACEITE OLIVA ,5 ML,10 ML,,,,,,
,SAL ,3 GR,6 GR,,,,,,
,,,,,,,,,
,,,,,,,,,
,SHANKLISH TRADICIONAL  / PICANTE ,CANTIDAD ,,,,,,,
,INGREDIENTES,125GR,250GR,DETALLE,PREPARACIÓN,,,,
,BOLA SHANKLISH ,60 GR,120 GR,,Se deshace la bola shanklish uniformemente,,,,
,TOMATE,30 GR,60 GR,CUBITOS ,Se mezcla con todos los ingredientes ,,,,
,CEBOLLA  BLANCA ,26 GR,52 GR,CUBITOS ,,,,,
,ACEITE OLIVA ,5 ML,10 ML,,,,,,
,SAL ,3 GR,6 GR,,,,,,
*,PICANTE EN POLVO (SHANK PICANTE),1 GR , 2 GR,,,,,,
,,,,,,,,,
,,,,,,,,,
,SHANKLISH TOMATE SECO,CANTIDAD ,,,,,,,
,INGREDIENTES,125GR,250GR,DETALLE,PREPARACIÓN,,,,
,BOLA  SHANKLISH,60 GR,120 GR,,Se deshace la bola shanklish uniformemente,,,,
,TOMATE SECO, 30 GR, 60 GR,CUBITO ,Se mezcla con todos los ingredientes ,,,,
,CEBOLLA MORADA,26 GR,52 GR,CUBITO,,,,,
,PEREJIL,3 GR,6 GR,BRUNOIS PEQUENO,,,,,
,ACEITE OLIVA ,5 ML,10 ML,,,,,,
,,,,,,,,,
,,,,,,,,,
,SHANKLISH DE PESTO,CANTIDAD ,,,,,,,
,INGREDIENTES,125GR,250GR,DETALLE,PREPARACIÓN,,,,
,BOLA DE SHANKLISH ,60 GR,120 GR,,Se deshace la bola shanklish uniformemente,,,,
,TOMATE,40 GR,80 GR,CUBITO,Se mezcla con todos los ingredientes ,,,,
,PESTO ,25 GR,50 GR,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SHANKLISH MEREY Y MIEL,CANTIDAD ,,,,,,,
,INGREDIENTES,125GR,250GR,DETALLE,PREPARACIÓN,,,,
,BOLA SHANKLISH ,60 GR,120 GR,,Se deshace la bola shanklish uniformemente,,,,
,MEREY FRITO,45 GR,90 GR,TROCEADO,se mezcla con todos los ingredientes ,,,,
,MIEL,20 GR,40 GR,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,DEGUSTACIÓN DE SHANKLISH: ,,,,,,,,
,"Puede llevar Todos los shanklish anteriores SOLO 4 OPCIONES,  (70gr de cada una)",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,CREMAS ,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,CREMA GARBANZO (HUMMUS),CANTIDAD ,,,,,,,
,INGREDIENTES,125GR,250GR,DETALLE,PREPARACIÓN,,,,
,GARBANZO SANCOCHADO,,,,Se debe licuar todo muy bien hasta que no se sienta grumos ,,,,
,ACEITE VEG,5ML,10ML,,Topping,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,CREMA GARBANZO ESPECIAL (HUMMUS),CANTIDAD ,,,,,,,
,INGREDIENTES,125GR,250GR,DETALLE,PREPARACIÓN,,,,
,HUMMUS ,,,,,,,,
,CARNE,40 GR,90 GR,,,,,,
,ACEITE VEG,5ML,10ML,,Topping,,,,
,PAPRIKA,1GR,2GR,,Decoración,,,,
,MEREY,3GR,6GR,,Decoración,,,,
,GARBANZO COCIDO,2GR,5GR,,Decoración,,,,
,,,,,,,,,
